Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1876,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1876,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1876,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1876,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3160992467.96647
1876,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2004555800.81789
1877,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4306669.74016841
1877,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9322888.34932545
1877,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,32686065.7507555
1877,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,36213829.0863838
1877,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1288438.81436421
1877,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1284460.1978969
1877,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1877,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1877,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1877,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1877,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3569699919.18336
1877,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2246505390.11474
1878,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,3988089.94596847
1878,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8647387.46672336
1878,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,32792977.8604483
1878,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,36320644.0941496
1878,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1236792.97546722
1878,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1233772.96696015
